device_type,normalized_load,memtotal,mem_utilization,core_number,vcpu_number,cpu_speed,cache_size,latency,packet_loss,jitter,bandwidth,net_utilization
31,0.335,15909.2460938,9.2270439237,8,0,2800.0,6144.0,0.038,0.0,0.0085,0.0,0.0
31,0.33375,15909.2460938,9.24128485622,8,0,2800.0,6144.0,0.035,0.0,0.0058,0.0124384674821,0.0230341990409
