normalized_load,mem_utilization,vcpu_number,latency,packet_loss,jitter,bandwidth,net_utilization
0.3475,9.2066646582,0,0.034,0,0.005,0.0084615802,0.0156695929
0.335,9.2270439237,0,0.038,0.0,0.0085,0.0,0.0
0.33375,9.24128485622,0,0.035,0.0,0.0058,0.0124384674821,0.0230341990409
